Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","12p","C_0402_1005Metric",105.900000,-129.600000,270.000000,top
"C2","10n","C_0402_1005Metric",125.300000,-136.100000,270.000000,top
"C3","10n","C_0402_1005Metric",114.000000,-136.100000,270.000000,top
"C4","12p","C_0402_1005Metric",111.700000,-129.300000,180.000000,top
"C5","10n","C_0402_1005Metric",136.600000,-136.000000,270.000000,top
"C6","1u","C_0402_1005Metric",114.400000,-128.500000,0.000000,top
"C7","10u_25v","C_0805_2012Metric",113.800000,-106.600000,270.000000,top
"C8","10n","C_0402_1005Metric",114.400000,-129.800000,0.000000,top
"C9","100n","C_0402_1005Metric",115.900000,-106.100000,270.000000,top
"C10","10u","C_0402_1005Metric",122.200000,-117.215000,90.000000,top
"C11","100n","C_0402_1005Metric",120.900000,-117.200000,90.000000,top
"C12","10u","C_0402_1005Metric",124.100000,-127.900000,0.000000,top
"C13","100n","C_0402_1005Metric",124.100000,-126.700000,0.000000,top
"C14","10u_25v","C_0805_2012Metric",124.100000,-117.000000,90.000000,top
"C15","100n","C_0402_1005Metric",119.600000,-117.200000,90.000000,top
"C16","100n","C_0402_1005Metric",103.800000,-124.700000,270.000000,top
"C17","100n","C_0402_1005Metric",105.000000,-124.700000,270.000000,top
"D1","B5817","D_SOD-123",115.700000,-102.100000,90.000000,top
"D2","LED","LED_0603_1608Metric_Castellated",129.200000,-103.300000,90.000000,top
"D3","LED","LED_0603_1608Metric_Castellated",104.200000,-144.000000,234.000000,top
"D4","LED","LED_0603_1608Metric_Castellated",112.100000,-148.000000,252.000000,top
"D5","LED","LED_0603_1608Metric_Castellated",120.900000,-149.400000,270.000000,top
"D6","LED","LED_0603_1608Metric_Castellated",129.700000,-148.000000,288.000000,top
"D7","LED","LED_0603_1608Metric_Castellated",137.600000,-144.000000,306.000000,top
"D8","LED","LED_0603_1608Metric_Castellated",143.900000,-137.700000,324.000000,top
"D9","LED","LED_0603_1608Metric_Castellated",97.900000,-104.400000,144.000000,top
"D10","LED","LED_0603_1608Metric_Castellated",93.900000,-112.200000,162.000000,top
"D11","LED","LED_0603_1608Metric_Castellated",92.500000,-121.000000,180.000000,top
"D12","LED","LED_0603_1608Metric_Castellated",97.900000,-137.700000,216.000000,top
"D13","LED","LED_0603_1608Metric_Castellated",93.900000,-129.800000,198.000000,top
"D14","LED","LED_0603_1608Metric_Castellated",143.800000,-104.300000,36.000000,top
"D15","LED","LED_0603_1608Metric_Castellated",147.900000,-129.800000,342.000000,top
"D16","LED","LED_0603_1608Metric_Castellated",147.900000,-112.200000,18.000000,top
"D17","LED","LED_0603_1608Metric_Castellated",137.600000,-98.000000,54.000000,top
"D18","LED","LED_0603_1608Metric_Castellated",149.300000,-121.000000,0.000000,top
"D19","LED","LED_0603_1608Metric_Castellated",129.700000,-94.000000,72.000000,top
"D20","LED","LED_0603_1608Metric_Castellated",104.200000,-98.000000,126.000000,top
"D21","LED","LED_0603_1608Metric_Castellated",112.200000,-94.000000,108.000000,top
"D22","LED","LED_0603_1608Metric_Castellated",120.900000,-92.600000,90.000000,top
"L1","39n","L_0402_1005Metric",114.400000,-127.200000,180.000000,top
"Q1","2N7002","SOT-23",108.100000,-143.600000,324.000000,top
"Q2","2N7002","SOT-23",115.700000,-146.400000,342.000000,top
"Q3","2N7002","SOT-23",123.700000,-146.800000,0.000000,top
"Q4","2N7002","SOT-23",131.500000,-144.800000,18.000000,top
"Q5","2N7002","SOT-23",138.400000,-140.200000,36.000000,top
"Q6","2N7002","SOT-23",143.400000,-133.800000,54.000000,top
"Q7","2N7002","SOT-23",98.300000,-108.300000,234.000000,top
